PERIOD_START_TIME,PLMN name,RNC name,RRC Connection setup SR,Call Setup Success Rate CS -Speech,HSDPA Accessibility,HSUPA Accessibility,CSSR for PS,Soft Handover Success Rate CS and PS,IRAT HO Success Rate CS,3G Traffic CS - Speech,PS HSUPA Volume,PS HSDPA Volume,AVG Nbr of HSDPA Users,AVG Nbr of HSUPA Users,CS drop rate,PS Global RAB Drop Rate,PS HSDPA RAB Drop Rate,PS HSUPA RAB Drop Rate,PS HSDPA Throughput,PS HSUPA Throughput,PS R99 Setup SR User,PS R99 Drop Rate User,PS R99 DL Data Volume,PS R99 UL Data Volume,Packet Loss,RRC Drop rate
2/11 14:00,PLMN,N122,100,99.8402,99.8488,99.882,99.0697,99.9763,97.0297,962.2452,95.7924,623.3994,2630,3320,0.3149,0.6297,0.4214,0.3789,"4,371.63",225.0546,99.6337,2.3789,0.0894,0.0406,0.1516,0.37
2/11 14:00,PLMN,N123,99.9967,99.8055,99.7904,99.8312,98.9893,99.9712,97.9798,571.3166,120.7864,784.946,4200,5110,0.3269,0.6981,0.3863,0.3584,"4,462.73",337.8269,100,2.8989,0.0974,0.0487,1.9534,0.38
2/11 14:00,PLMN,N124,100,99.7876,99.7367,99.7765,98.9314,99.9692,92.757,936.9498,174.8967,"1,002.88",4160,5060,0.4001,0.8285,0.4349,0.4095,"4,092.69",329.2105,100,1.6069,0.3807,0.3632,0.6281,0.4
2/11 14:00,PLMN,N357,100,100,99.6906,99.7141,99.4987,99.9176,100,4.8286,6.5048,61.8734,3532.5,3973.9,0.3984,3.1291,0.487,0.4944,"6,489.07",270.9421,100,1.1149,0.0399,0.0269,,1.46
2/11 14:00,PLMN,N403,99.9991,99.8085,99.8092,99.8352,98.9211,99.9695,98.4314,353.9384,133.3435,879.5376,5270,6290,0.2548,1.2019,0.3754,0.3859,"4,355.04",374.5471,99.187,4.1005,0.1595,0.102,0.971,0.56
2/11 14:00,PLMN,N406,99.9934,99.8171,99.729,99.7727,98.8031,99.9816,98.3653,363.5856,153.0104,906.3132,7730,8690,0.5363,3.3825,0.5217,0.5078,"4,793.29",441.2103,100,2.8738,0.1241,0.0526,6.3502,1.15
2/11 14:00,PLMN,N407,100,99.765,99.7112,99.7604,98.88,99.9701,98.4754,"1,194.16",239.6133,"1,531.10",6350,7550,0.3101,1.6626,0.5632,0.5827,"4,018.73",371.8901,100,2.9566,0.2316,0.1482,4.7599,0.76
2/11 14:00,PLMN,N408,99.9715,99.8337,99.7445,99.781,98.7735,99.9446,98.75,"1,690.59",220.2454,"1,456.90",5640,6850,0.3417,1.4552,0.5465,0.5633,"4,236.91",347.5609,99.0099,2.8423,0.2752,0.1611,4.473,0.57
2/11 14:00,PLMN,N601,99.9635,99.4658,99.6478,99.6836,98.2944,99.8896,98.418,222.1882,148.6612,913.2101,6850,7810,0.4279,2.4069,0.6443,0.6571,"4,737.21",436.0062,100,4.6961,0.1556,0.0929,4.2467,1.02
2/11 14:00,PLMN,N602,99.9985,99.8293,99.7798,99.8165,98.8627,99.9719,96.8481,625.0418,240.925,"1,703.28",5900,7130,0.2733,1.4297,0.3842,0.4126,"4,382.61",387.5481,99.3421,3.2709,0.2232,0.1569,4.1656,0.6
